"","X","Year","Week","Date","Day","value","catcorr","Bay","corTL","co"
"1",1,"2016",1,2016-05-18,"05_18",31,1.869227139,"Shinnecock",58,1
"2",2,"2016",1,2016-05-18,"05_18",23,1.932995822,"Shinnecock",44,1
"3",3,"2016",2,2016-05-26,"05_26",32,1.858356313,"Shinnecock",59,1
"4",4,"2016",2,2016-05-26,"05_26",32,1.858356313,"Shinnecock",59,1
"5",5,"2016",2,2016-05-26,"05_26",37,1.792410193,"Shinnecock",66,1
"6",6,"2016",2,2016-05-26,"05_26",26,1.913436218,"Shinnecock",50,1
"7",7,"2016",2,2016-05-26,"05_26",30,1.879380895,"Shinnecock",56,1
"8",8,"2016",2,2016-05-26,"05_26",30,1.879380895,"Shinnecock",56,1
"9",103,"2016",2,2016-05-26,"05_26",25,1.920471453,"Shinnecock",48,1
"10",104,"2016",2,2016-05-26,"05_26",28,1.897656828,"Shinnecock",53,1
"11",105,"2016",2,2016-05-26,"05_26",30,1.879380895,"Shinnecock",56,1
"12",106,"2016",2,2016-05-26,"05_26",29,1.888847084,"Shinnecock",55,1
"13",179,"2016",2,2016-05-26,"05_26",28,1.897656828,"Shinnecock",53,1
"14",180,"2016",2,2016-05-26,"05_26",31,1.869227139,"Shinnecock",58,1
"15",181,"2016",2,2016-05-26,"05_26",24,1.926980625,"Shinnecock",46,1
"16",244,"2016",2,2016-05-26,"05_26",31,1.869227139,"Shinnecock",58,1
"17",245,"2016",2,2016-05-26,"05_26",30,1.879380895,"Shinnecock",56,1
"18",246,"2016",2,2016-05-26,"05_26",32,1.858356313,"Shinnecock",59,1
"19",300,"2016",2,2016-05-26,"05_26",29,1.888847084,"Shinnecock",55,1
"20",301,"2016",2,2016-05-26,"05_26",31,1.869227139,"Shinnecock",58,1
"21",302,"2016",2,2016-05-26,"05_26",35,1.821184158,"Shinnecock",64,1
"22",346,"2016",2,2016-05-26,"05_26",33,1.846741152,"Shinnecock",61,1
"23",383,"2016",2,2016-05-26,"05_26",29,1.888847084,"Shinnecock",55,1
"24",416,"2016",2,2016-05-26,"05_26",30,1.879380895,"Shinnecock",56,1
"25",9,"2016",3,2016-06-01,"06_01",35,1.821184158,"Shinnecock",64,1
"26",10,"2016",3,2016-06-01,"06_01",35,1.821184158,"Shinnecock",64,1
"27",11,"2016",3,2016-06-01,"06_01",30,1.879380895,"Shinnecock",56,1
"28",12,"2016",3,2016-06-01,"06_01",36,1.807205438,"Shinnecock",65,1
"29",13,"2016",3,2016-06-01,"06_01",35,1.821184158,"Shinnecock",64,1
