Bay,Date,Tow,TL,Year,Week
Moriches,2010-06-01,2,49,2010,1
Moriches,2010-06-01,8,36,2010,1
Shinnecock,2010-06-01,1,32,2010,1
Shinnecock,2010-06-01,4,42,2010,1
Shinnecock,2010-06-01,4,33,2010,1
Shinnecock,2010-06-01,4,28,2010,1
Shinnecock,2010-06-01,5,44,2010,1
Shinnecock,2010-06-01,5,47,2010,1
Shinnecock,2010-06-01,5,42,2010,1
Shinnecock,2010-06-01,5,44,2010,1
Shinnecock,2010-06-01,5,40,2010,1
Shinnecock,2010-06-01,5,36,2010,1
Shinnecock,2010-06-01,6,42,2010,1
Cold Spring Pond,2010-06-03,1,50,2010,1
Cold Spring Pond,2010-06-03,1,64,2010,1
Cold Spring Pond,2010-06-03,2,58,2010,1
Cold Spring Pond,2010-06-03,5,57,2010,1
Cold Spring Pond,2010-06-03,6,64,2010,1
Cold Spring Pond,2010-06-03,6,63,2010,1
Cold Spring Pond,2010-06-03,6,69,2010,1
Cold Spring Pond,2010-06-03,6,58,2010,1
Cold Spring Pond,2010-06-03,6,54,2010,1
Cold Spring Pond,2010-06-03,6,62,2010,1
Cold Spring Pond,2010-06-03,6,46,2010,1
Cold Spring Pond,2010-06-03,6,42,2010,1
Cold Spring Pond,2010-06-03,6,52,2010,1
Cold Spring Pond,2010-06-03,6,53,2010,1
Cold Spring Pond,2010-06-03,9,59,2010,1
Cold Spring Pond,2010-06-03,10,43,2010,1
Moriches,2010-06-09,1,57,2010,2
Moriches,2010-06-09,1,48,2010,2
Moriches,2010-06-09,5,43,2010,2
Moriches,2010-06-09,5,40,2010,2
Moriches,2010-06-09,5,32,2010,2
Moriches,2010-06-09,6,36,2010,2
Moriches,2010-06-09,6,38,2010,2
Moriches,2010-06-09,6,39,2010,2
Moriches,2010-06-09,7,39,2010,2
Moriches,2010-06-09,7,35,2010,2
Moriches,2010-06-09,7,34,2010,2
Moriches,2010-06-09,8,46,2010,2
Moriches,2010-06-09,8,44,2010,2
Moriches,2010-06-09,8,32,2010,2
Moriches,2010-06-09,8,37,2010,2
Moriches,2010-06-09,8,33,2010,2
Moriches,2010-06-09,8,41,2010,2
Moriches,2010-06-09,8,33,2010,2
Moriches,2010-06-09,9,79,2010,2
Moriches,2010-06-09,9,63,2010,2
Moriches,2010-06-09,9,58,2010,2
Moriches,2010-06-09,9,46,2010,2
Moriches,2010-06-09,9,40,2010,2
Moriches,2010-06-09,10,30,2010,2
Moriches,2010-06-09,10,46,2010,2
Cold Spring Pond,2010-06-10,1,32,2010,2
Cold Spring Pond,2010-06-10,1,40,2010,2
Cold Spring Pond,2010-06-10,1,59,2010,2
Cold Spring Pond,2010-06-10,2,51,2010,2
Cold Spring Pond,2010-06-10,3,58,2010,2
Cold Spring Pond,2010-06-10,4,57,2010,2
Cold Spring Pond,2010-06-10,4,62,2010,2
Cold Spring Pond,2010-06-10,4,62,2010,2
Cold Spring Pond,2010-06-10,6,50,2010,2
Shinnecock,2010-06-10,1,32,2010,2
Shinnecock,2010-06-10,1,50,2010,2
Shinnecock,2010-06-10,1,56,2010,2
Shinnecock,2010-06-10,1,56,2010,2
Shinnecock,2010-06-10,1,35,2010,2
Shinnecock,2010-06-10,1,48,2010,2
Shinnecock,2010-06-10,1,33,2010,2
Shinnecock,2010-06-10,1,38,2010,2
Shinnecock,2010-06-10,1,37,2010,2
Shinnecock,2010-06-10,1,54,2010,2
Shinnecock,2010-06-10,1,52,2010,2
Shinnecock,2010-06-10,3,31,2010,2
Shinnecock,2010-06-10,3,52,2010,2
Shinnecock,2010-06-10,3,50,2010,2
Shinnecock,2010-06-10,3,39,2010,2
Shinnecock,2010-06-10,3,50,2010,2
Shinnecock,2010-06-10,3,40,2010,2
Shinnecock,2010-06-10,4,35,2010,2
Shinnecock,2010-06-10,4,42,2010,2
Shinnecock,2010-06-10,4,36,2010,2
Shinnecock,2010-06-10,4,49,2010,2
Shinnecock,2010-06-10,5,54,2010,2
Shinnecock,2010-06-10,5,51,2010,2
Shinnecock,2010-06-10,5,49,2010,2
Shinnecock,2010-06-10,5,35,2010,2
Shinnecock,2010-06-10,10,35,2010,2
Napeague,2010-06-18,3,55,2010,3
Napeague,2010-06-18,3,56,2010,3
Napeague,2010-06-18,4,50,2010,3
Napeague,2010-06-18,4,44,2010,3
Napeague,2010-06-18,4,36,2010,3
Napeague,2010-06-18,4,37,2010,3
Napeague,2010-06-18,4,35,2010,3
Napeague,2010-06-18,4,41,2010,3
Napeague,2010-06-18,4,50,2010,3
Napeague,2010-06-18,4,52,2010,3
Napeague,2010-06-18,4,59,2010,3
Napeague,2010-06-18,4,52,2010,3
Napeague,2010-06-18,4,52,2010,3
Napeague,2010-06-18,4,38,2010,3
Napeague,2010-06-18,4,51,2010,3
Napeague,2010-06-18,4,44,2010,3
Napeague,2010-06-18,4,50,2010,3
Napeague,2010-06-18,4,50,2010,3
Napeague,2010-06-18,4,43,2010,3
Napeague,2010-06-18,4,37,2010,3
Napeague,2010-06-18,4,47,2010,3
Napeague,2010-06-18,4,39,2010,3
Napeague,2010-06-18,4,47,2010,3
Napeague,2010-06-18,4,40,2010,3
Napeague,2010-06-18,4,37,2010,3
Napeague,2010-06-18,4,41,2010,3
Napeague,2010-06-18,4,46,2010,3
Napeague,2010-06-18,4,37,2010,3
Napeague,2010-06-18,5,52,2010,3
Napeague,2010-06-18,5,43,2010,3
Napeague,2010-06-18,5,51,2010,3
Napeague,2010-06-18,5,37,2010,3
Napeague,2010-06-18,5,46,2010,3
Napeague,2010-06-18,5,53,2010,3
Napeague,2010-06-18,5,45,2010,3
Napeague,2010-06-18,5,50,2010,3
Napeague,2010-06-18,5,41,2010,3
Napeague,2010-06-18,5,46,2010,3
Napeague,2010-06-18,5,47,2010,3
Napeague,2010-06-18,5,51,2010,3
Napeague,2010-06-18,5,45,2010,3
Napeague,2010-06-18,5,48,2010,3
Napeague,2010-06-18,5,42,2010,3
Napeague,2010-06-18,5,47,2010,3
Napeague,2010-06-18,5,44,2010,3
Napeague,2010-06-18,5,48,2010,3
Napeague,2010-06-18,5,40,2010,3
Napeague,2010-06-18,5,51,2010,3
Napeague,2010-06-18,5,50,2010,3
Napeague,2010-06-18,5,53,2010,3
Napeague,2010-06-18,5,36,2010,3
Napeague,2010-06-18,5,53,2010,3
Napeague,2010-06-18,5,51,2010,3
Napeague,2010-06-18,5,38,2010,3
Napeague,2010-06-18,5,55,2010,3
Napeague,2010-06-18,5,42,2010,3
Napeague,2010-06-18,5,36,2010,3
Napeague,2010-06-18,6,48,2010,3
Napeague,2010-06-18,6,44,2010,3
Napeague,2010-06-18,6,36,2010,3
Napeague,2010-06-18,6,38,2010,3
Napeague,2010-06-18,6,50,2010,3
Napeague,2010-06-18,6,47,2010,3
Napeague,2010-06-18,6,48,2010,3
Napeague,2010-06-18,6,43,2010,3
Napeague,2010-06-18,6,46,2010,3
Napeague,2010-06-18,6,35,2010,3
Napeague,2010-06-18,6,44,2010,3
Napeague,2010-06-18,6,45,2010,3
Napeague,2010-06-18,6,45,2010,3
Napeague,2010-06-18,6,37,2010,3
Napeague,2010-06-18,6,43,2010,3
Napeague,2010-06-18,6,40,2010,3
Napeague,2010-06-18,6,33,2010,3
Napeague,2010-06-18,6,47,2010,3
Napeague,2010-06-18,6,39,2010,3
Napeague,2010-06-18,6,43,2010,3
Napeague,2010-06-18,6,49,2010,3
Napeague,2010-06-18,6,42,2010,3
Napeague,2010-06-18,6,37,2010,3
Napeague,2010-06-18,6,54,2010,3
Napeague,2010-06-18,6,48,2010,3
Napeague,2010-06-18,6,43,2010,3
Napeague,2010-06-18,6,47,2010,3
Napeague,2010-06-18,6,42,2010,3
Napeague,2010-06-18,6,41,2010,3
Napeague,2010-06-18,6,42,2010,3
Napeague,2010-06-18,6,50,2010,3
Napeague,2010-06-18,6,38,2010,3
Napeague,2010-06-18,6,46,2010,3
