newID,stage,TL,Age,OtoID,Year,location,samp,FishID,LAT,LON,catch.date,jday,birthjday,bday,week,cutoff,cohort
70715291,yoy,75,99,,2015,Mattituck,193,70715291,40.99689,-72.5427,7/7/15,42192,42093,3/30/15,8,47,1
62415998,yoy,57,70,,2015,Mattituck,189,62415998,40.9994,-72.5384,6/24/15,42179,42109,4/15/15,6,40,1
624159911,yoy,58,58,,2015,Mattituck,190,624159911,40.9994,-72.5384,6/24/15,42179,42121,4/27/15,6,40,1
62415882,yoy,24,42,,2015,Mattituck,173,62415882,40.9962,-72.9434,6/24/15,42179,42137,5/13/15,6,40,2
62415881,yoy,26,37,,2015,Mattituck,174,62415881,40.9962,-72.9434,6/24/15,42179,42142,5/18/15,6,40,2
70715652,yoy,31,46,,2015,Mattituck,181,70715652,41.00053,-72.54521,7/7/15,42192,42146,5/22/15,8,47,2
70715381,yoy,29,42,,2015,Mattituck,179,70715381,40.99559,-72.54169,7/7/15,42192,42150,5/26/15,8,47,2
70715831,yoy,29,42,,2015,Mattituck,180,70715831,41.00032,-72.54475,7/7/15,42192,42150,5/26/15,8,47,2
70715651,yoy,27,40,,2015,Mattituck,178,70715651,41.00053,-72.54521,7/7/15,42192,42152,5/28/15,8,47,2
70715571,yoy,27,38,,2015,Mattituck,176,70715571,40.99792,-72.5434,7/7/15,42192,42154,5/30/15,8,47,2
60216654,yoy,55,74,,2016,Mattituck,231,60216654,40.9992,-72.54617,6/2/16,42523,42449,3/20/16,3,early,1
60216655,yoy,62,72,,2016,Mattituck,232,60216655,40.9992,-72.54617,6/2/16,42523,42451,3/22/16,3,early,1
63016654,yoy,88,100,,2016,Mattituck,230,63016654,41.0009,-72.54546,6/30/16,42551,42451,3/22/16,7,49,1
63016652,yoy,71,99,,2016,Mattituck,228,63016652,41.0009,-72.54546,6/30/16,42551,42452,3/23/16,7,49,1
63016653,yoy,73,99,,2016,Mattituck,229,63016653,41.0009,-72.54546,6/30/16,42551,42452,3/23/16,7,49,1
61316673,yoy,64,81,,2016,Mattituck,234,61316673,40.998,-72.544,6/13/16,42534,42453,3/24/16,5,early,1
63016651,yoy,67,92,,2016,Mattituck,227,63016651,41.0009,-72.54546,6/30/16,42551,42459,3/30/16,7,49,1
61316674,yoy,63,74,,2016,Mattituck,233,61316674,40.998,-72.544,6/13/16,42534,42460,3/31/16,5,early,1
63016475,yoy,58,88,,2016,Mattituck,225,63016475,40.99663,-72.54278,6/30/16,42551,42463,4/3/16,7,49,1
63016476,yoy,59,81,,2016,Mattituck,226,63016476,40.99663,-72.54278,6/30/16,42551,42470,4/10/16,7,49,1
63016474,yoy,51,78,,2016,Mattituck,224,63016474,40.99663,-72.54278,6/30/16,42551,42473,4/13/16,7,49,1
71116561,yoy,51,86,,2016,Mattituck,223,71116561,40.9982,-72.5443,7/11/16,42562,42476,4/16/16,9,52,2
71116382,yoy,90,82,,2016,Mattituck,240,71116382,40.9956,-72.5414,7/11/16,42562,42480,4/20/16,9,52,1
61316742,yoy,35,49,,2016,Mattituck,209,61316742,41.002,-72.545,6/13/16,42534,42485,4/25/16,5,early,1
