,Bay,Date,Year,Tow,Towindex,Station,StartLAT,StartLON,Temp,SAL,DO.mg.L,Bottom.type,distswept,NumCaught,jday,cpT,avl,minl,maxl,sdl,area,cpue,efoff,rcpT,AvDepth,EndLAT,EndLON,NumKept
1,Cold Spring Pond,2010-06-03,2010,1,1,3,,,,,,mud/sand,174.3,2,154,2.773739912,56.25536028,50,64,9.899494937,174.3,0.015788303,5.160777953,3,,,,
2,Cold Spring Pond,2010-06-03,2010,2,2,4,,,,,,algae,201.2,1,154,1.353959245,58,58,58,,201.2,0.006706878,5.304299438,1,,,,
3,Cold Spring Pond,2010-06-03,2010,3,3,6,,,,,,mud,201.2,0,154,0,,,,,201.2,0,5.304299438,0,,,,
4,Cold Spring Pond,2010-06-03,2010,4,4,13,,,,,,mud,201.2,0,154,0,,,,,201.2,0,5.304299438,0,,,,
5,Cold Spring Pond,2010-06-03,2010,5,5,20,,,,,,mud,160.9,1,154,1.375371023,57,57,57,,160.9,0.008511659,5.080783054,1,,,,
6,Cold Spring Pond,2010-06-03,2010,6,6,18,,,,,,mud/sand,268.2,10,154,14.01607972,55.34741868,42,69,8.472832401,268.2,0.050940047,5.591732971,14,,,,
7,Cold Spring Pond,2010-06-03,2010,7,7,17,,,,,,,201.2,0,154,0,,,,,201.2,0,5.304299438,0,,,,
8,Cold Spring Pond,2010-06-03,2010,8,8,15,,,,,,,174.3,0,154,0,,,,,174.3,0,5.160777953,0,,,,
9,Cold Spring Pond,2010-06-03,2010,9,9,21,,,,,,,201.2,1,154,1.333117473,59,59,59,,201.2,0.006603978,5.304299438,1,,,,
10,Cold Spring Pond,2010-06-03,2010,10,10,8,,,,,,mud/sand,201.2,1,154,1.686732572,43,43,43,,201.2,0.008348417,5.304299438,2,,,,
11,Cold Spring Pond,2010-06-10,2010,1,11,2,,,19.8,25.2,6.61,sand,362.1,3,161,4.934584801,42.12021516,32,59,13.86842938,362.1,0.013535663,5.891920417,5,,,,
12,Cold Spring Pond,2010-06-10,2010,2,12,4,,,19.7,25.5,6.59,mud,375.5,1,161,1.511344179,51,51,51,,375.5,0.004016806,5.928258471,2,,,,
13,Cold Spring Pond,2010-06-10,2010,3,13,6,,,19.6,25,6.56,sand,375.5,1,161,1.353959245,58,58,58,,375.5,0.003599265,5.928258471,1,,,,
14,Cold Spring Pond,2010-06-10,2010,4,14,12,,,19.9,24.9,6.62,mud,362.1,3,161,3.92456119,60.2477391,57,62,2.886751346,362.1,0.010780021,5.891920417,4,,,,
15,Cold Spring Pond,2010-06-10,2010,5,15,11,,,20,25.2,6.57,sand,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
