,X,Bay,Date,Year,Tow,Towindex,Station,Temp,SAL,DO.mg.L,distswept,NumCaught,jday,cpT,avl,minl,maxl,sdl,area,cpue,efoff,rcpT,AvDepth,std_cpue,Pres,dayl
1,11,Cold Spring Pond,2010-06-10,2010,1,11,2,19.8,25.2,6.61,362.1,3,161,4.934584801,42.12021516,32,59,13.86842938,362.1,0.013535663,5.891920417,5,NA,14,1,15.02500889
2,12,Cold Spring Pond,2010-06-10,2010,2,12,4,19.7,25.5,6.59,375.5,1,161,1.511344179,51,51,51,NA,375.5,0.004016806,5.928258471,2,NA,4,1,15.02500889
3,13,Cold Spring Pond,2010-06-10,2010,3,13,6,19.6,25,6.56,375.5,1,161,1.353959245,58,58,58,NA,375.5,0.003599265,5.928258471,1,NA,4,1,15.02500889
4,14,Cold Spring Pond,2010-06-10,2010,4,14,12,19.9,24.9,6.62,362.1,3,161,3.92456119,60.2477391,57,62,2.886751346,362.1,0.010780021,5.891920417,4,NA,11,1,15.02500889
5,15,Cold Spring Pond,2010-06-10,2010,5,15,11,20,25.2,6.57,348.7,0,161,0,NA,NA,NA,NA,348.7,0,5.854211954,0,NA,0,0,15.02500889
6,16,Cold Spring Pond,2010-06-10,2010,6,16,18,20.3,25.1,6.46,362.1,1,161,1.534401164,50,50,50,NA,362.1,0.004228554,5.891920417,2,NA,4,1,15.02500889
7,17,Cold Spring Pond,2010-06-10,2010,7,17,16,20,24.8,6.37,375.5,0,161,0,NA,NA,NA,NA,375.5,0,5.928258471,0,NA,0,0,15.02500889
8,18,Cold Spring Pond,2010-06-10,2010,8,18,8,20.1,24.8,6.17,348.7,0,161,0,NA,NA,NA,NA,348.7,0,5.854211954,0,NA,0,0,15.02500889
9,19,Cold Spring Pond,2010-06-10,2010,9,19,3,20.2,25.1,6.21,348.7,0,161,0,NA,NA,NA,NA,348.7,0,5.854211954,0,NA,0,0,15.02500889
10,20,Cold Spring Pond,2010-06-10,2010,10,20,17,20.3,24.9,6.15,321.9,0,161,0,NA,NA,NA,NA,321.9,0,5.774240938,0,NA,0,0,15.02500889
11,21,Cold Spring Pond,2010-06-28,2010,1,21,3,26.2,26,6.19,201.2,1,179,1.222917267,65,65,65,NA,201.2,0.00605972,5.304299438,1,NA,6,1,15.08013172
12,22,Cold Spring Pond,2010-06-28,2010,2,22,9,26.3,26.1,6.36,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
13,23,Cold Spring Pond,2010-06-28,2010,3,23,4,26.5,26,6.62,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
14,24,Cold Spring Pond,2010-06-28,2010,4,24,5,26.6,25.9,6.75,201.2,2,179,2.399340422,67.69767489,60,77,12.02081528,201.2,0.011854607,5.304299438,2,NA,12,1,15.08013172
15,25,Cold Spring Pond,2010-06-28,2010,5,25,6,26.7,25.8,6.77,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
16,26,Cold Spring Pond,2010-06-28,2010,6,26,13,26.9,25.8,6.83,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
17,27,Cold Spring Pond,2010-06-28,2010,7,27,19,27,26.2,6.84,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
18,28,Cold Spring Pond,2010-06-28,2010,8,28,17,27.5,26.2,7.6,201.2,1,179,1.312908509,60,60,60,NA,201.2,0.006504192,5.304299438,1,NA,7,1,15.08013172
19,29,Cold Spring Pond,2010-06-28,2010,9,29,16,28,26.1,7.49,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
20,30,Cold Spring Pond,2010-06-28,2010,10,30,8,27.8,26,7.25,201.2,0,179,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.08013172
21,31,Cold Spring Pond,2010-07-14,2010,1,31,2,26.4,26.7,5.9,201.2,10,195,13.95722747,55.55360138,37,78,10.73364389,201.2,0.067069613,5.304299438,14,NA,67,1,14.85802232
22,32,Cold Spring Pond,2010-07-14,2010,2,32,10,27,26.6,5.91,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
23,33,Cold Spring Pond,2010-07-14,2010,3,33,12,27.1,26.8,5.34,228,1,195,1.207315414,66,66,66,NA,228,0.005281273,5.429345629,1,NA,5,1,14.85802232
24,34,Cold Spring Pond,2010-07-14,2010,4,34,20,27.6,26.2,4.21,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
25,35,Cold Spring Pond,2010-07-14,2010,5,35,19,27.4,26,6.3,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
26,36,Cold Spring Pond,2010-07-14,2010,6,36,18,27.5,26.5,5.14,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
27,37,Cold Spring Pond,2010-07-14,2010,7,37,16,27.5,26.1,7.31,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
28,38,Cold Spring Pond,2010-07-14,2010,8,38,9,27.6,27,8.57,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
29,39,Cold Spring Pond,2010-07-14,2010,9,39,15,27.7,26.5,7.63,228,0,195,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.85802232
30,40,Cold Spring Pond,2010-07-14,2010,10,40,7,27.5,26.9,6.92,228,1,195,1.353959245,58,58,58,NA,228,0.005920855,5.429345629,1,NA,6,1,14.85802232
31,41,Cold Spring Pond,2010-07-27,2010,1,41,2,25.5,27.8,8.67,160.9,0,208,0,NA,NA,NA,NA,160.9,0,5.080783054,0,NA,0,0,14.51949575
32,42,Cold Spring Pond,2010-07-27,2010,2,42,4,25.9,27.8,8.94,160.9,0,208,0,NA,NA,NA,NA,160.9,0,5.080783054,0,NA,0,0,14.51949575
33,43,Cold Spring Pond,2010-07-27,2010,3,43,5,26.3,27.4,9.26,214.6,1,208,1.353959245,58,58,58,NA,214.6,0.006289403,5.36877583,1,NA,6,1,14.51949575
34,44,Cold Spring Pond,2010-07-27,2010,4,44,6,26.4,27.5,9.82,187.8,0,208,0,NA,NA,NA,NA,187.8,0,5.235377567,0,NA,0,0,14.51949575
35,45,Cold Spring Pond,2010-07-27,2010,5,45,18,26.6,27.2,9.54,201.2,0,208,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.51949575
36,46,Cold Spring Pond,2010-07-27,2010,6,46,17,27.4,27.6,9.99,187.8,0,208,0,NA,NA,NA,NA,187.8,0,5.235377567,0,NA,0,0,14.51949575
37,47,Cold Spring Pond,2010-07-27,2010,7,47,9,26.7,27.1,9.38,187.8,1,208,1.333117473,59,59,59,NA,187.8,0.007073526,5.235377567,1,NA,7,1,14.51949575
38,48,Cold Spring Pond,2010-07-27,2010,8,48,21,27.4,27.2,10.71,187.8,0,208,0,NA,NA,NA,NA,187.8,0,5.235377567,0,NA,0,0,14.51949575
39,49,Cold Spring Pond,2010-07-27,2010,9,49,14,27.7,26.8,10.76,201.2,0,208,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.51949575
40,50,Cold Spring Pond,2010-07-27,2010,10,50,7,27.5,27.2,10.84,201.2,1,208,1.312908509,60,60,60,NA,201.2,0.006504192,5.304299438,1,NA,7,1,14.51949575
41,51,Cold Spring Pond,2010-08-16,2010,1,51,2,24.6,28.1,4.89,241.4,0,228,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,13.80980972
42,52,Cold Spring Pond,2010-08-16,2010,2,52,3,24.8,28.2,5.25,201.2,0,228,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,13.80980972
43,53,Cold Spring Pond,2010-08-16,2010,3,53,9,24.9,28.2,5.32,201.2,0,228,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,13.80980972
44,54,Cold Spring Pond,2010-08-16,2010,4,54,6,25.2,28.1,4.87,241.4,0,228,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,13.80980972
45,55,Cold Spring Pond,2010-08-16,2010,5,55,13,25.2,27.9,5.6,241.4,0,228,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,13.80980972
46,56,Cold Spring Pond,2010-08-16,2010,6,56,18,25,27.8,5.36,187.8,0,228,0,NA,NA,NA,NA,187.8,0,5.235377567,0,NA,0,0,13.80980972
47,57,Cold Spring Pond,2010-08-16,2010,7,57,16,25,27.9,5.41,187.8,0,228,0,NA,NA,NA,NA,187.8,0,5.235377567,0,NA,0,0,13.80980972
48,58,Cold Spring Pond,2010-08-16,2010,8,58,15,25.1,27.8,5.53,241.4,0,228,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,13.80980972
49,59,Cold Spring Pond,2010-08-16,2010,9,59,14,25.2,27.9,5.55,160.9,0,228,0,NA,NA,NA,NA,160.9,0,5.080783054,0,NA,0,0,13.80980972
50,60,Cold Spring Pond,2010-08-16,2010,10,60,1,25.5,27.4,5.91,134.1,0,228,0,NA,NA,NA,NA,134.1,0,4.89858579,0,NA,0,0,13.80980972
51,61,Cold Spring Pond,2010-08-26,2010,1,61,2,23.3,28,7.36,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
52,62,Cold Spring Pond,2010-08-26,2010,2,62,5,23.2,28.1,6.96,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
53,63,Cold Spring Pond,2010-08-26,2010,3,63,6,23.2,27.9,6.65,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
54,64,Cold Spring Pond,2010-08-26,2010,4,64,13,23.3,27.6,6.87,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
55,65,Cold Spring Pond,2010-08-26,2010,5,65,19,23.7,27.4,7.52,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
56,66,Cold Spring Pond,2010-08-26,2010,6,66,10,23.5,27.7,7.49,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
57,67,Cold Spring Pond,2010-08-26,2010,7,67,17,23.8,27.6,7.07,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
58,68,Cold Spring Pond,2010-08-26,2010,8,68,8,23.7,27.8,7.92,268.2,0,238,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.40167364
59,69,Cold Spring Pond,2010-09-09,2010,1,69,5,24.1,27.2,7.67,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
60,70,Cold Spring Pond,2010-09-09,2010,2,70,4,23.9,26.9,7.92,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
61,71,Cold Spring Pond,2010-09-09,2010,3,71,3,24.2,27,8.11,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
62,72,Cold Spring Pond,2010-09-09,2010,4,72,12,23.7,26.7,8.13,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
63,73,Cold Spring Pond,2010-09-09,2010,5,73,18,23.7,26.7,8.08,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
64,74,Cold Spring Pond,2010-09-09,2010,6,74,10,24.1,26.7,7.9,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
65,75,Cold Spring Pond,2010-09-09,2010,7,75,8,23.9,27.2,8.26,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
66,76,Cold Spring Pond,2010-09-09,2010,8,76,14,24.5,27,8.84,268.2,0,252,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,12.79821529
67,91,Jamaica,2010-06-21,2010,1,1,11,24.8,25.4,5.6,201.2,2,172,3.189691729,45.32317084,37,56,13.43502884,201.2,0.015728987,5.304299438,3,NA,16,1,15.09813081
68,92,Jamaica,2010-06-21,2010,2,2,7,24.8,25.4,5.6,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
69,93,Jamaica,2010-06-21,2010,3,3,4,25.6,25.3,6.32,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
70,94,Jamaica,2010-06-21,2010,5,4,east side of bay,26.6,25,13.14,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
71,95,Jamaica,2010-06-21,2010,6,5,21,24.3,25.5,3.36,201.2,1,172,1.48823882,52,52,52,NA,201.2,0.007369591,5.304299438,1,NA,7,1,15.09813081
72,96,Jamaica,2010-06-21,2010,7,6,21,24.3,25.5,3.36,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
73,97,Jamaica,2010-06-21,2010,8,7,18,24.5,25.3,3.52,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
74,98,Jamaica,2010-06-21,2010,9,8,17,24.2,25.8,3.57,201.2,2,172,2.519371402,63.08838582,58,69,7.778174593,201.2,0.012443978,5.304299438,3,NA,12,1,15.09813081
75,99,Jamaica,2010-06-21,2010,10,9,17,24.2,25.8,3.57,160.9,0,172,0,NA,NA,NA,NA,160.9,0,5.080783054,0,NA,0,0,15.09813081
76,100,Jamaica,2010-06-21,2010,11,10,9,23.9,25.2,3.48,201.2,0,172,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09813081
77,101,Jamaica,2010-07-08,2010,1,11,6,26.5,25.6,7.62,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
78,102,Jamaica,2010-07-08,2010,2,12,9,26.3,25.5,7.46,201.2,1,189,1.333117473,59,59,59,NA,201.2,0.006603978,5.304299438,1,NA,7,1,14.96922664
79,103,Jamaica,2010-07-08,2010,3,13,12,25.5,26.5,2.85,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
80,104,Jamaica,2010-07-08,2010,4,14,14,25.5,26.5,5.14,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
81,105,Jamaica,2010-07-08,2010,5,15,16,26.1,25.9,6.91,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
82,106,Jamaica,2010-07-08,2010,6,16,17,26.1,24.9,8.02,201.2,1,189,1.353959245,58,58,58,NA,201.2,0.006706878,5.304299438,1,NA,7,1,14.96922664
83,107,Jamaica,2010-07-08,2010,7,17,19,26.1,25.6,7.56,201.2,1,189,1.256570527,63,63,63,NA,201.2,0.006225959,5.304299438,1,NA,6,1,14.96922664
84,108,Jamaica,2010-07-08,2010,8,18,20,26.4,25.5,7.31,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
85,109,Jamaica,2010-07-08,2010,9,19,21,26.5,25.5,6.78,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
86,110,Jamaica,2010-07-08,2010,10,20,9,26.6,25.8,7.21,127.5,0,189,0,NA,NA,NA,NA,127.5,0,4.848116365,0,NA,0,0,14.96922664
87,111,Jamaica,2010-07-08,2010,11,21,7,26.7,25.9,8.19,201.2,1,189,1.239338748,64,64,64,NA,201.2,0.006140842,5.304299438,1,NA,6,1,14.96922664
88,112,Jamaica,2010-07-08,2010,12,22,5,26.6,25.9,6.1,40.2,0,189,0,NA,NA,NA,NA,40.2,0,3.693866996,0,NA,0,0,14.96922664
89,113,Jamaica,2010-07-21,2010,1,23,2,28.6,27,10.31,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
90,114,Jamaica,2010-07-21,2010,2,24,4,29.8,26.8,16.71,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
91,115,Jamaica,2010-07-21,2010,3,25,7,28.9,26.9,11.23,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
92,116,Jamaica,2010-07-21,2010,4,26,9,29.4,27,12.97,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
93,117,Jamaica,2010-07-21,2010,5,27,12,28.2,27.5,7.12,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
94,118,Jamaica,2010-07-21,2010,6,28,14,28.3,27.6,8.48,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
95,119,Jamaica,2010-07-21,2010,7,29,16,28,27.2,7.33,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
96,120,Jamaica,2010-07-21,2010,8,30,17,27.9,27.3,6.67,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
97,121,Jamaica,2010-07-21,2010,9,31,20,27.8,23,6.07,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
98,122,Jamaica,2010-07-21,2010,10,32,21,28.7,24.1,7.74,241.4,0,202,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.6908244
99,123,Jamaica,2010-08-04,2010,1,33,24,25.9,25.7,10.2,0,0,216,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.25757311
100,124,Jamaica,2010-08-04,2010,2,34,20,26.8,26.4,13.3,0,0,216,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.25757311
101,125,Jamaica,2010-08-04,2010,3,35,20,26.8,25.6,10.1,0,0,216,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.25757311
102,126,Jamaica,2010-08-04,2010,4,36,17,26.3,26.6,8.82,0,0,216,0,NA,NA,NA,NA,174.3,0,5.160777953,0,NA,0,0,14.25757311
103,127,Jamaica,2010-08-04,2010,5,37,15,25.8,26.9,8.3,0,1,216,1.72507236,41,41,41,NA,241.4,0.007120703,5.486455309,2,NA,7,1,14.25757311
104,128,Jamaica,2010-08-04,2010,6,38,13,26.2,27.5,9.05,0,0,216,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.25757311
105,129,Jamaica,2010-08-04,2010,7,39,7,27.5,26.7,16.7,0,0,216,0,NA,NA,NA,NA,174.3,0,5.160777953,0,NA,0,0,14.25757311
106,130,Jamaica,2010-08-04,2010,8,40,4,27,26.8,17.5,0,0,216,0,NA,NA,NA,NA,228,0,5.429345629,0,NA,0,0,14.25757311
107,131,Jamaica,2010-08-04,2010,9,41,2,27.4,26.9,15.6,0,0,216,0,NA,NA,NA,NA,241.4,0,5.486455309,0,NA,0,0,14.25757311
108,132,Jamaica,2010-08-04,2010,10,42,1,28.2,27.3,17.1,0,0,216,0,NA,NA,NA,NA,295,0,5.686975356,0,NA,0,0,14.25757311
109,133,Jamaica,2010-08-18,2010,1,43,24,25.1,26.6,3.86,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
110,134,Jamaica,2010-08-18,2010,2,44,22,25,23.7,3.21,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
111,135,Jamaica,2010-08-18,2010,3,45,12,25.1,26.7,2.75,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
112,136,Jamaica,2010-08-18,2010,4,46,14,25.2,26.9,3.36,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
113,137,Jamaica,2010-08-18,2010,5,47,9,25.1,25.7,6.93,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
114,138,Jamaica,2010-08-18,2010,6,48,6,25.1,25.8,8.58,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
115,139,Jamaica,2010-08-18,2010,7,49,4,24.8,25.7,7.74,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
116,140,Jamaica,2010-08-18,2010,8,50,1,25.2,26.1,9.12,268.2,0,230,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.73027056
117,141,Jamaica,2010-09-01,2010,1,51,4,26,24.7,9.55,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
118,142,Jamaica,2010-09-01,2010,2,52,5,26,24.2,9.89,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
119,143,Jamaica,2010-09-01,2010,3,53,9,25.9,24.6,10.35,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
120,144,Jamaica,2010-09-01,2010,4,54,13,26,25.9,6.89,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
121,145,Jamaica,2010-09-01,2010,5,55,16,25.4,25.4,6.24,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
122,146,Jamaica,2010-09-01,2010,6,56,20,27,24.1,7.16,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
123,147,Jamaica,2010-09-01,2010,7,57,21,27.2,23.1,7.38,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
124,148,Jamaica,2010-09-01,2010,8,58,22,25.3,23.5,5.15,268.2,0,244,0,NA,NA,NA,NA,268.2,0,5.591732971,0,NA,0,0,13.1465272
125,149,Jamaica,2011-05-27,2011,1,1,NA,21.1,22.2,6.81,201.2,3,147,5.311299621,36.96823547,29,45,8.020806277,201.2,0.026055692,5.304299438,5,NA,26,1,14.76509707
126,150,Jamaica,2011-05-27,2011,2,2,NA,21.2,20.4,6.56,201.2,5,147,9.059430824,33.55093799,25,45,8.544003745,201.2,0.044042715,5.304299438,9,NA,44,1,14.76509707
127,151,Jamaica,2011-05-27,2011,3,3,NA,22.3,22.3,7.04,201.2,0,147,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.76509707
128,152,Jamaica,2011-05-27,2011,4,4,NA,22.3,22.1,6.81,201.2,1,147,1.792410193,37,37,37,NA,201.2,0.008869152,5.304299438,2,NA,9,1,14.76509707
129,153,Jamaica,2011-05-27,2011,5,5,NA,22.4,21.7,8.97,201.2,0,147,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.76509707
130,154,Jamaica,2011-05-27,2011,6,6,NA,21,22.7,6.79,201.2,1,147,1.686732572,43,43,43,NA,201.2,0.008348417,5.304299438,2,NA,8,1,14.76509707
131,155,Jamaica,2011-05-27,2011,7,7,NA,22.6,22.2,10.54,201.2,1,147,1.743111015,40,40,40,NA,201.2,0.00862626,5.304299438,2,NA,9,1,14.76509707
132,156,Jamaica,2011-05-27,2011,8,8,NA,22.3,22.3,10.26,201.2,1,147,1.760357288,39,39,39,NA,201.2,0.008711237,5.304299438,2,NA,9,1,14.76509707
133,157,Jamaica,2011-05-27,2011,9,9,NA,21.5,22.2,9.72,201.2,0,147,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.76509707
134,158,Jamaica,2011-05-27,2011,10,10,NA,20.9,22.7,9.53,201.2,0,147,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.76509707
